"seq","speaker","clean_text","raw_text"
11,"JUSTICE ROBERTS","well but i mean the  the  the difference is that the google you  youtube they are still not responsible for the content of the videos or  or text that is transmitted your focus is on the actual selection and recommendations they are responsible that a particular item is there but not for what the item  item says and i do not  i  i think part  it may be significant if the algorithm is the same across  as justice thomas was suggesting across the different subject matters because then they do not have a focused algorithm with respect to terrorist activities or  or pilaf or something and then i think it might be harder for you to say that there is selection involved for which they could be held respons"," Well, but, I mean, the -- the -- the difference is that the Google, You -- YouTube, they're still not responsible for the content of the videos or -- or text that is transmitted. Your focus is on the actual selection and recommendations. They're responsible that a particular item is there but not for what the item -- item says. And I don't -- I -- I think part -- it may be significant if the algorithm is the same across -- as Justice Thomas was suggesting, across the different subject matters, because then they don't have a focused algorithm with respect to terrorist activities or -- or pilaf or something, and then I think it might be harder for you to say that there's selection involved for which they could be held responsible."
12,"MR. SCHNAPPER","the  the  the statute i think does not draw the distinction that way the  the claim here is about the encouragement of  of  of users to go look at particular content and that is the jasta claim that we will hear about tomorrow and the underlying substantive claim is encouraging people to go look at isis videos would be aiding and abetting isis more on that tomorrow but if that is an actionable claim then the conduct here would fit within it the  because certain individuals would be shown these thumbnails which would encourage them to go look at those video"," The -- the -- the statute, I think, doesn't draw the distinction that way. The -- the claim here is about the encouragement of -- of -- of users to go look at particular content. And that's the JASTA claim that we'll hear about tomorrow. And the underlying substantive claim is encouraging people to go look at ISIS videos would be aiding and abetting ISIS. More on that tomorrow. But, if that's an actionable claim, then the conduct here would fit within it, the -- because certain individuals would be shown these thumbnails, which would encourage them to go look at those videos."
13,"JUSTICE KAGAN","so i think you are right mister schnapper that the statute does not make that distinction this was a prealgorithm statute and you know everybody is trying their best to figure out how this statute applies this statute which was a prealgorithm statute applies in a postalgorithm world but i think what was lying underneath justice thomass question was a suggestion that algorithms are endemic to the internet that every time anybody looks at anything on the internet there is an algorithm involved whether it is a google search engine or whether it is this youtube site or  or  or a twitter account or countless other things that everything involves ways of organizing and prioritizing material and  and that would essentially mean that you know   i guess what i am asking is does  does  does your position send us down the road such that  really can not mean anything at al"," So I think you're right, Mr. Schnapper, that the statute doesn't make that distinction. This was a pre-algorithm statute. And, you know, everybody is trying their best to figure out how this statute applies, this statute which was a pre-algorithm statute applies in a post-algorithm world. But I think what was lying underneath Justice Thomas's question was a suggestion that algorithms are endemic to the Internet, that every time anybody looks at anything on the Internet, there is an algorithm involved, whether it's a Google search engine or whether it's this YouTube site or -- or -- or a Twitter account or countless other things, that everything involves ways of organizing and prioritizing material. And -- and that would essentially mean that, you know, 230 -- I guess what I'm asking is, does -- does -- does your position send us down the road such that 230 really can't mean anything at all?"
14,"MR. SCHNAPPER","i  i  i do not think so your honor the question  as you say algorithms are ubiquitous but the question is what does the defendant do with the algorithm if it uses the algorithm to direct  to encourage people to look at isis videos that is within the scope of jasta it is not different than if back in  a lot of clerks somewhere at prodigy did this manually and just had a bunch of file cards and they figured out who was interested in what the statute would have meant the same thing there that it does now it is automated it is at a larger scale but it does not change the nature of what they are doing with the algorithm so "," I -- I -- I don't think so, Your Honor. The question -- as you say, algorithms are ubiquitous, but the question is what does the defendant do with the algorithm. If it uses the algorithm to direct -- to encourage people to look at ISIS videos, that's within the scope of JASTA. It's not different than if back in 1996 a lot of clerks somewhere at Prodigy did this manually and just had a bunch of file cards and they figured out who was interested in what. The statute would have meant the same thing there that it does now. It's automated, it's at a larger scale, but it doesn't change the nature of what they're doing with the algorithm. So --"
15,"JUSTICE SOTOMAYOR","can i  i am sorry finish"," Can I -- I'm sorry, finish."
16,"MR. SCHNAPPER","the  the  the brief  i think the brief for respondent points to a number of uses of algorithms for example to pick the cheapest fare or things like that that is just outside the scope of the statute the algorithm is being used there to generate additional content so the question is what you do with the algorithm the fact that you did it with an algorithm does not give  yield a different result than if you had a lot of hardworking people in a  in an office somewhere doing the same th"," The -- the -- the brief -- I think the brief for Respondent points to a number of uses of algorithms, for example, to pick the cheapest fare or things like that. That's just outside the scope of the statute. The algorithm is being used there to generate additional content. So the question is what you do with the algorithm. The fact that you did it with an algorithm doesn't give -- yield a different result than if you had a lot of hard-working people in a -- in an office somewhere doing the same thing."
17,"JUSTICE SOTOMAYOR","we seem "," We seem --"
18,"JUSTICE KAGAN","well i  i  i guess i "," Well, I -- I -- I guess I --"
19,"JUSTICE SOTOMAYOR","oh"," Oh."
20,"JUSTICE KAGAN"," i  i take the point  if  if i could just "," -- I -- I take the point -- if -- if I could just --"
21,"JUSTICE SOTOMAYOR","no no go ahead"," No, no, go ahead."
22,"JUSTICE KAGAN","you know i take the point that there are a lot of algorithms that are not going to produce proisis content and that will not create a problem under this statute but maybe they will produce defamatory content or maybe they will produce content that violates some other law and your  your argument can not be limited to this one statute it has to extend to any number of harms that can be done by  by speech and  and so by the organization of speech in ways that basically every provider us"," You know, I take the point that there are a lot of algorithms that are not going to produce pro-ISIS content and that won't create a problem under this statute, but maybe they'll produce defamatory content or maybe they'll produce content that violates some other law. And your -- your argument can't be limited to this one statute. It has to extend to any number of harms that can be done by -- by speech and -- and so by the organization of speech in ways that basically every provider uses."
23,"MR. SCHNAPPER","well if i might turn to the example of what you said referred to an algorithm that produces defamation i may be paraphrasing that wrong if the  if the  let us say the algorithm generates a recommendation  a  a  a face  a thumbnail that on its face is  is benign it just says interesting information about frank you go there and it is defamatory the defendants not responsible  or excuse me  the defense applies to the video itself that you saw the question would be whether the thumbnail was actionable and under  in most circumstances thumbnails are not going to be actionable in addition the  the thumbnails typically include a snippet from a  a video or a text or whatever if the snippet itself were defamatory again the defense  the statutory defense would apply because what was being displayed was thirdparty content and so the statute still applies ther"," Well, if I might turn to the example of what you said, referred to, an algorithm that produces defamation. I may be paraphrasing that wrong. If the -- if the -- let's say the algorithm generates a recommendation -- a -- a -- a face -- a thumbnail that on its face is -- is benign, it just says interesting information about Frank, you go there, and it's defamatory. The defendant's not responsible -- or excuse me -- the defense applies to the video itself that you saw. The question would be whether the thumbnail was actionable. And under -- in most circumstances, thumbnails aren't going to be actionable. In addition, the -- the thumbnails typically include a snippet from a -- a video or a text or whatever. If the snippet itself were defamatory, again, the defense -- the statutory defense would apply because what was being displayed was third-party content. And so the statute still applies there."
24,"JUSTICE ALITO","suppose that google could  youtube could display these thumbnails purely at random but if it does anything than displaying them purely at random is not it organizing and presenting information to people who access youtub"," Suppose that Google could -- YouTube could display these thumbnails purely at random. But, if it does anything than displaying them purely at random, isn't it organizing and presenting information to people who access YouTube?"
25,"MR. SCHNAPPER","yes but "," Yes, but --"
26,"JUSTICE ALITO","all right"," All right."
27,"MR. SCHNAPPER"," that does not put it within the scope of the statut"," -- that doesn't put it within the scope of the statute."
28,"JUSTICE ALITO","well does that  does that constitute publish"," Well, does that -- does that constitute publishing?"
29,"MR. SCHNAPPER","yes so they would "," Yes. So they would --"
30,"JUSTICE ALITO","it doe"," It does?"
31,"MR. SCHNAPPER"," they would be publishing  they would be publishing the  the thumbnail"," -- they would be publishing -- they would be publishing the -- the thumbnail."
32,"JUSTICE ALITO","right"," Right."
33,"MR. SCHNAPPER","but  but if the  if the thumbnail is not itself  if  if the  if the  the way they are using it is  is  is encouraging people to engage "," But -- but, if the -- if the thumbnail isn't itself -- if -- if the -- if the -- the way they're using it is -- is -- is encouraging people to engage --"
34,"JUSTICE ALITO","well that is a different question though is not it i  i do not know where you are drawing the line that is the problem"," Well, that's a different question, though, isn't it? I -- I don't know where you're drawing the line. That's the problem."
35,"MR. SCHNAPPER","oh i see i see i se"," Oh, I see, I see, I see."
36,"JUSTICE ALITO","that is the problem that i se"," That's the problem that I see."
37,"MR. SCHNAPPER","oh"," Oh."
38,"JUSTICE ALITO","unless you are  you are saying that the publishing  the publication requirement is satisfied under all circumstances unless the thumbnails are presented purely at random"," Unless you're -- you're saying that the publishing -- the publication requirement is satisfied under all circumstances, unless the thumbnails are presented purely at random."
39,"MR. SCHNAPPER","it is publication even if it is at random but the  but the  the  the injury in the hypothetical we are talking about about isis does not follow from the content of the thumbnail the thumbnail would typically be fairly benign the harm comes "," It's publication even if it's at random, but the -- but the -- the -- the injury in the hypothetical we're talking about about ISIS doesn't follow from the content of the thumbnail. The thumbnail would typically be fairly benign. The harm comes --"
40,"JUSTICE ALITO","yeah but in every instance in those instances where the thumbnail is benign that is not a concern for purposes of this case but in all those instances where some plaintiff might have some cause of action based on the content of the video that has been posted "," Yeah, but in every instance, in those instances where the thumbnail is benign, that's not a concern for purposes of this case, but in all those instances where some plaintiff might have some cause of action based on the content of the video that has been posted --"
41,"MR. SCHNAPPER","there would have to be a cause of action as we assert there is in jasta for encouraging people to go look at the video that is a fairly uncommon form of cause of action the cause of action  insofar as the plaintiff asserts a cause of action based on the video itself that is within the  that you have been sent to that is within the scope of the defens"," There would have to be a cause of action, as we assert there is in JASTA, for encouraging people to go look at the video. That's a fairly uncommon form of cause of action. The cause of action -- insofar as the plaintiff asserts a cause of action based on the video itself, that's within the -- that you've been sent to, that's within the scope of the defense."
42,"JUSTICE JACKSON","and is that because of the way in which you are interpreting the statute i mean can we  can we back up a little bit and try to at least help me get my mind around your argument about how we should read the text of the statute i took your brief to be arguing and that of those who support you that the statute really is about one kind of publishing conduct and that is the failure to block or screen offensive content am i right about that in other words what you say is covered by section and that google could like  could rightly claim immunity for is a claim that there was something defective about their ability to screen or block content that the content is up there and you should be liable for it"," And is that because of the way in which you're interpreting the statute? I mean, can we -- can we back up a little bit and try to at least help me get my mind around your argument about how we should read the text of the statute? I took your brief to be arguing and that of those who support you that the statute really is about one kind of publishing conduct, and that is the failure to block or screen offensive content. Am I right about that? In other words, what you say is covered by Section and that Google could, like -- could rightly claim immunity for is a claim that there was something defective about their ability to screen or block content, that the content is up there and you should be liable for it?"
43,"MR. SCHNAPPER","i  i think we  we have  i  i think that is not our claim"," I -- I think we -- we've -- I -- I think that's not our claim."
44,"JUSTICE JACKSON","okay"," Okay."
45,"MR. SCHNAPPER","i think we are trying to distinguish between liability for what is in the content that is on their websites that you could access and actions they take to encourage you to go look at it"," I think we are trying to distinguish between liability for what's in the content that's on their websites that you could access and actions they take to encourage you to go look at it."
46,"JUSTICE JACKSON","yes yes that is your claim i am just trying to "," Yes, yes, that's your claim. I'm just trying to --"
47,"MR. SCHNAPPER","if you encourage it then we are "," If you encourage it, then we're --"
48,"JUSTICE JACKSON"," understand how you read the statute your  the statute you say covers only scenarios in which the claim that is being made is that there is offensive content on the website that you did not take it down that you know you failed to screen it out but if you are making a claim that you are encouraging people to look at this content that is something different that is the claim you are making and it is not covered by the statut"," -- understand how you read the statute. Your -- the statute, you say, covers only scenarios in which the claim that's being made is that there's offensive content on the website, that you didn't take it down, that, you know, you failed to screen it out, but if you're making a claim that you're encouraging people to look at this content, that's something different, that's the claim you're making, and it's not covered by the statute."
49,"MR. SCHNAPPER","that is our  that is the distinction "," That's our -- that's the distinction --"
50,"JUSTICE JACKSON","all right"," All right."
51,"MR. SCHNAPPER"," we are trying to draw i mean it  the distinction is illustrated by the email in the dyroff case which  which is the precedent that  that got us here in the ninth circuit in that case there was a i think word  word email from the website to an individual which read something like there is something new that is been posted to the question where can i buy heroin in jacksonville florida to access it use this url or use this url it is our contention that that is outside the protection of the statut"," -- we're trying to draw. I mean, it -- the distinction is illustrated by the e-mail in the Dyroff case, which -- which is the precedent that -- that got us here in the Ninth Circuit. In that case, there was a, I think, 26-word -- 26-word e-mail from the website to an individual which read something like there's something new that's been posted to the question where can I buy heroin in Jacksonville, Florida. To access it, use this URL or use this URL. It's our contention that that is outside the protection of the statute."
52,"JUSTICE JACKSON","but is that really different  i guess i am trying  so they would argue i think that even assuming that the statute only covered the kinds of things that you say it covers you know defective blocking and screening meaning there is still offensive stuff on your website and you should be liable for it i think they would say that to the extent your claim is talking about their way  their algorithm that presents the information it is really the same thing that you are  that it reduces  it is tantamount to saying we havent you know blocked this information it is still on the website because algorithms are the way in which the information is pres"," But is that really different -- I guess I'm trying -- so they would argue, I think, that even assuming that the statute only covered the kinds of things that you say it covers, you know, defective blocking and screening, meaning there's still offensive stuff on your website and you should be liable for it, I think they would say that to the extent your claim is talking about their way -- their algorithm that presents the information, it's really the same thing, that you're -- that it reduces -- it's tantamount to saying we haven't, you know, blocked this information, it's still on the website, because algorithms are the way in which the information is presented."
53,"MR. SCHNAPPER","so if i may make clear as i may not have done that well the distinction we are drawing our claim is not that they did an inadequate job of block  of keeping things off their  their computers that you can access from  from outside or from failure to  to block it it is that that is the  that is the heartland of the statute what we are saying is that insofar as they were encouraging people to go look at things that is what is outside the protection of the statute not that the stuff was there if they stopped recommending things tomorrow and  and all sorts of horrible stuff was on their website as far as we read the statute they are fine it is the recommendation practice that we think is action"," So, if I may make clear, as I may not have done that well, the distinction we're drawing, our claim is not that they did an inadequate job of block -- of keeping things off their -- their computers that you can access from -- from outside or from failure to -- to block it. It's that that's the -- that's the heartland of the statute. What we're saying is that insofar as they were encouraging people to go look at things, that's what's outside the protection of the statute, not that the stuff was there. If they stopped recommending things tomorrow and -- and all sorts of horrible stuff was on their website, as far as we read the statute, they're fine. It's the recommendation practice that we think is actionable."
54,"JUSTICE SOTOMAYOR","can i break down your complaint a moment there  the vast majority of it is paragraph after paragraph after paragraph that says they are liable because they failed to take isis off their website i think as i am listening to you today you seem to have abandoned that and  and are saying they do not have to take it off their websit"," Can I break down your complaint a moment? There -- the vast majority of it is paragraph after paragraph after paragraph that says they're liable because they failed to take ISIS off their website. I think, as I'm listening to you today, you seem to have abandoned that and -- and are saying they don't have to take it off their website."
55,"MR. SCHNAPPER","that "," That --"
56,"JUSTICE SOTOMAYOR","am i correct about that"," Am I correct about that?"
57,"MR. SCHNAPPER","that is exactly right that  that "," That's exactly right. That -- that --"
58,"JUSTICE SOTOMAYOR","so that can not be "," So that can't be --"
59,"MR. SCHNAPPER"," is the way we have framed the question pres"," -- is the way we've framed the question presented."
60,"JUSTICE SOTOMAYOR","so that can not be "," So that can't be --"
61,"MR. SCHNAPPER","we did not advance that claim"," We did not advance that claim."
62,"JUSTICE SOTOMAYOR","so you are abandoning that claim so that can not be aiding and abetting so i think i am listening to you and the only aiding and abetting that you are arguing is the recommendation correct"," So you're abandoning that claim, so that can't be aiding and abetting. So I think I'm listening to you, and the only aiding and abetting that you're arguing is the recommendation, correct?"
63,"MR. SCHNAPPER","that is correct"," That's correct."
64,"JUSTICE SOTOMAYOR","you are not arguing that they are  some of these providers create chat rooms or put people together users together you are not claiming that that is part of what you are arguing about the social networking i want to call it"," You're not arguing that they're -- some of these providers create chat rooms or put people together, users together. You're not claiming that that's part of what you're arguing about? The social networking, I want to call it."
65,"MR. SCHNAPPER","well that is not at issue in this cas"," Well, that's not at issue in this case."
66,"JUSTICE SOTOMAYOR","it is in "," It's in --"
67,"MR. SCHNAPPER","face "," Face --"
68,"JUSTICE SOTOMAYOR"," tomorrows case all right"," -- tomorrow's case? All right."
69,"MR. SCHNAPPER","face  if i can be more specific "," Face -- if I can be more specific --"
70,"JUSTICE SOTOMAYOR","all right so you are limiting  you are limiting your "," All right. So you're limiting -- you're limiting your --"
71,"MR. SCHNAPPER"," i mean facebook  facebook does that"," -- I mean, Facebook -- Facebook does that."
72,"JUSTICE SOTOMAYOR","all right"," All right."
73,"MR. SCHNAPPER","facebook recommends people "," Facebook recommends people --"
74,"JUSTICE SOTOMAYOR","right"," Right."
75,"MR. SCHNAPPER"," which is very difficult to find within the four walls of the statute googles created a lot of things but so far not "," -- which is very difficult to find within the four walls of the statute. Google's created a lot of things but so far not --"
76,"JUSTICE SOTOMAYOR","but you are not claiming that in this cas"," But you're not claiming that in this case?"
77,"MR. SCHNAPPER","not in  it is not what "," Not in -- it's not what --"
78,"JUSTICE SOTOMAYOR","you are just focusing "," You're just focusing --"
79,"MR. SCHNAPPER","no this is about content it is not about "," No. This is about content. It's not about --"
80,"JUSTICE SOTOMAYOR","this is about content and i just want to focus your complaint so i understand it very clearly you are saying the  the youtube or the next up feature of the algorithm that says you viewed this and so you might like this it is you might like this that is the aiding and abet"," This is about content. And I just want to focus your complaint so I understand it very clearly. You're saying the -- the YouTube or the ""Next up"" feature of the algorithm that says you viewed this and so you might like this, it's ""you might like this"" that's the aiding and abetting?"
81,"MR. SCHNAPPER","uh "," Uh --"
82,"JUSTICE SOTOMAYOR","what  what part of what they are doing because i mean you  you  whoever the user is types in something they get an isis video you say that is okay  they can not be liable for you the  me the viewer looking at the isis vehicle but the internet providers can be liable for what"," What -- what part of what they're doing? Because, I mean, you -- you -- whoever the user is types in something, they get an ISIS video, you say that's okay -- they can't be liable for you, the -- me, the viewer, looking at the ISIS vehicle. But the Internet providers can be liable for what?"
83,"MR. SCHNAPPER","okay so they are  they are "," Okay. So they're -- they're --"
84,"JUSTICE SOTOMAYOR","for showing me the next video that is similar to that"," For showing me the next video that's similar to that?"
85,"MR. SCHNAPPER","all right they are  it would be helpful perhaps if i distinguish between two kinds of practices that  that go on at youtube the complaint does not describe them in detail but we are fairly familiar with them so what we can talk "," All right. They're -- it would be helpful perhaps if I distinguish between two kinds of practices that -- that go on at YouTube. The complaint doesn't describe them in detail, but we're fairly familiar with them. So what we can talk --"
86,"JUSTICE SOTOMAYOR","i am glad but i am going to be to look at complaint because it can only survive if the complaint is adequate so you are going to have to tell me where in the complaint you are saying this if i am going to think about holding them liable so "," I'm glad, but I'm going to be to look at complaint because it can only survive if the complaint is adequate. So you're going to have to tell me where in the complaint you're saying this if I'm going to think about holding them liable. So --"
87,"MR. SCHNAPPER","i am about three questions "," I'm about three questions --"
88,"JUSTICE SOTOMAYOR"," you are going to have to separate out the two things then"," -- you're going to have to separate out the two things then."
89,"MR. SCHNAPPER","okay i am about three questions behind let me "," Okay. I'm about three questions behind. Let me ---"
90,"JUSTICE SOTOMAYOR","all right"," All right."
91,"MR. SCHNAPPER"," let me try and do my best here so what we have been talking about up until now is the use of  of thumbnails to encourage people to look at content  people who havent clicked on any video yet and our contention is the use of thumbnails is  is the same thing under the statute as sending someone an email and saying you might like to look at this new video now the up next feature is a different problem and the problem there is  is that when you click on one video and you pick that one youtube will automatically keep sending you more videos which you havent asked for that in our view runs afoul of a different element of the statutory defense which is that they be acting as an interactive computer service and when they go beyond delivering to you what you asked for to start sending things you havent asked for our contention is that they are no longer acting as an interactive computer servic"," -- let me try and do my best here. So what we've been talking about up until now is the use of -- of thumbnails to encourage people to look at content -- people who haven't clicked on any video yet. And our contention is the use of thumbnails is -- is the same thing under the statute as sending someone an e-mail and saying: You might like to look at this new video. Now the ""Up next"" feature is a different problem, and the problem there is -- is that when you click on one video and you pick that one, YouTube will automatically keep sending you more videos which you haven't asked for. That, in our view, runs afoul of a different element of the statutory defense, which is that they be acting as an interactive computer service. And when they go beyond delivering to you what you asked for, to start sending things you haven't asked for, our contention is that they're no longer acting as an interactive computer service."
92,"JUSTICE SOTOMAYOR","all right so even if i accept that you are right that sending you unrequested things that are similar to what you have viewed whether it is a thumbnail or an email how does that become aiding and abetting i am going back to justice thomass question okay which is if they are not purposely creating their algorithm in some way to feature isis videos if they are  i mean i can really see that an internet provider who was in cahoots with isis provided them with an algorithm that would take anybody in the world and find them for them and  and do recruiting of people by showing them other videos that will lead them to isis that is an intentional act and i could see  not going that far i guess the question is how do you get yourself from a neutral algorithm to an aiding and abetting "," All right. So, even if I accept that you're right that sending you unrequested things that are similar to what you've viewed, whether it's a thumbnail or an e-mail, how does that become aiding and abetting? I'm going back to Justice Thomas's question, okay, which is, if they aren't purposely creating their algorithm in some way to feature ISIS videos, if they're -- I mean, I can really see that an Internet provider who was in cahoots with ISIS provided them with an algorithm that would take anybody in the world and find them for them and -- and do recruiting of people by showing them other videos that will lead them to ISIS, that's an intentional act, and I could see 230 not going that far. I guess the question is, how do you get yourself from a neutral algorithm to an aiding and abetting --"
93,"MR. SCHNAPPER","right"," Right."
94,"JUSTICE SOTOMAYOR"," an intent knowledge there has to be some intent to aid and abet you have to have knowledge that you are doing thi"," -- an intent, knowledge? There has to be some intent to aid and abet. You have to have knowledge that you're doing this."
95,"MR. SCHNAPPER","yes"," Yes."
96,"JUSTICE SOTOMAYOR","so how do you get ther"," So how do you get there?"
97,"MR. SCHNAPPER","so the  the  if  if the algorithm recommends an isis video or it automatically plays it that  as we will see tomorrow that by itself is not going to satisfy aiding and abetting aiding and abetting requires knowledge that it is happening so the elements of the aiding and abetting claim which we will be talking about tomorrow address the question you are asking if  if this was teed up if they did not know it was happening and the other elements of an aidingandabetting claim were present they would not be liable for aiding and abet"," So the -- the -- if -- if the algorithm recommends an ISIS video or it automatically plays it, that -- as we'll see tomorrow, that by itself isn't going to satisfy aiding and abetting. Aiding and abetting requires knowledge that it's happening. So the elements of the aiding and abetting claim, which we'll be talking about tomorrow, address the question you're asking. If -- if this was teed up, if they didn't know it was happening, and the other elements of an aiding-and-abetting claim were present, they would not be liable for aiding and abetting. "
98,"JUSTICE ROBERTS","thank you counsel just one short question your  your friend on the other side presented an analogy that she thought would be helpful which  a book seller that has a table with sports books on it and somebody comes in and says i am looking for the book about roger maris and the bookseller says well it is over there on the table with the other sports books is not that analogous to what is happening here you type in isis "," Thank you, counsel. Just one short question. Your -- your friend on the other side presented an analogy that she thought would be helpful, which -- a book seller that has a table with sports books on it, and somebody comes in and says, I'm looking for the book about Roger Maris, and the bookseller says, well, it's over there on the table with the other sports books. Isn't that analogous to what's happening here? You type in ISIS --"
99,"MR. SCHNAPPER","i am not sure  i am not sure where that  that gets us i mean it would not be any different than sending an email saying that"," I'm not sure -- I'm not sure where that -- that gets us. I mean, it wouldn't be any different than sending an e-mail saying that. "
